n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps;
100; 2509; 2205; 2445; 2564; 2768; 2464; 2688; 2910; 2499; 2602; 2600; 2361; 2775; 2482; 2647; 2758; 2569; 2350; 2906; 2515; 2696; 2406; 2661; 2512; 2774; 2777; 2467; 2756; 2487; 2364; 2701; 2489; 2366; 2864; 2546; 2408; 2821; 2709; 2402; 2650; 2571; 2723; 2604; 2826; 2541; 2580; 2386; 2532; 3150; 2484; 2383; 2593; 2375; 2565; 2572; 2773; 2389; 2773; 2277; 2644; 2437; 2440; 2657; 2709; 2340; 2751; 2566; 2839; 2336; 2343; 2301; 2609; 2259; 2524; 2659; 2340; 2977; 2484; 2498; 2483; 2613; 2275; 2616; 2327; 2539; 2611; 2594; 2637; 2506; 2815; 2352; 2651; 2598; 2785; 2684; 2583; 2771; 2483; 2491; 2880; 2410; 2106; 2346; 2465; 2669; 2365; 2589; 2811; 2400; 2503; 2501; 2262; 2676; 2383; 2548; 2659; 2470; 2251; 2807; 2416; 2597; 2307; 2562; 2413; 2675; 2678; 2368; 2657; 2388; 2265; 2602; 2390; 2267; 2765; 2447; 2309; 2722; 2610; 2303; 2551; 2472; 2624; 2505; 2727; 2442; 2481; 2287; 2433; 3051; 2385; 2284; 2494; 2276; 2466; 2473; 2674; 2290; 2674; 2178; 2545; 2338; 2341; 2558; 2610; 2241; 2652; 2467; 2740; 2237; 2244; 2202; 2510; 2160; 2425; 2560; 2241; 2878; 2385; 2399; 2384; 2514; 2176; 2517; 2228; 2440; 2512; 2495; 2538; 2407; 2716; 2253; 2552; 2499; 2686; 2585; 2484; 2672; 2384; 2392; 2781; 
200; 10147; 10373; 9823; 10944; 10815; 9315; 9906; 9901; 10088; 9898; 9637; 9971; 10632; 10838; 10998; 9525; 11113; 9894; 10544; 9706; 9640; 9301; 9672; 10660; 11071; 11282; 9640; 9920; 8997; 10049; 9546; 10812; 10351; 10159; 9981; 10153; 10862; 9924; 10361; 10113; 10368; 10003; 9839; 9683; 10892; 10613; 10478; 10122; 10291; 10009; 11226; 10320; 10127; 10085; 9659; 11054; 9651; 11186; 10566; 9332; 9158; 10083; 10632; 10788; 10173; 10203; 9988; 10528; 10082; 9763; 11009; 10374; 9860; 10050; 10421; 10452; 9458; 9746; 10945; 9312; 9969; 9802; 9674; 10024; 10222; 10205; 9967; 10153; 9872; 10099; 9394; 10149; 10129; 10144; 10551; 9517; 9576; 9531; 10287; 9760; 9948; 10174; 9624; 10745; 10616; 9116; 9707; 9702; 9889; 9699; 9438; 9772; 10433; 10639; 10799; 9326; 10914; 9695; 10345; 9507; 9441; 9102; 9473; 10461; 10872; 11083; 9441; 9721; 8798; 9850; 9347; 10613; 10152; 9960; 9782; 9954; 10663; 9725; 10162; 9914; 10169; 9804; 9640; 9484; 10693; 10414; 10279; 9923; 10092; 9810; 11027; 10121; 9928; 9886; 9460; 10855; 9452; 10987; 10367; 9133; 8959; 9884; 10433; 10589; 9974; 10004; 9789; 10329; 9883; 9564; 10810; 10175; 9661; 9851; 10222; 10253; 9259; 9547; 10746; 9113; 9770; 9603; 9475; 9825; 10023; 10006; 9768; 9954; 9673; 9900; 9195; 9950; 9930; 9945; 10352; 9318; 9377; 9332; 10088; 9561; 
300; 22460; 23107; 20291; 22808; 22933; 22437; 22600; 23314; 22658; 22411; 21265; 23952; 22351; 23378; 24835; 21686; 22324; 23497; 23143; 22704; 24120; 22746; 22370; 22113; 22842; 21449; 22716; 22217; 22368; 23601; 23810; 23111; 22662; 23224; 22452; 23365; 23087; 21074; 22637; 24386; 24094; 23632; 24342; 22971; 22030; 23185; 22779; 23554; 23409; 23616; 22102; 23664; 22873; 23263; 23401; 22524; 21951; 21358; 22914; 24176; 23227; 23395; 24019; 22740; 21685; 22514; 21924; 22103; 23323; 22321; 21761; 22908; 22679; 22015; 22852; 22975; 22973; 22423; 22021; 23748; 23613; 21578; 23076; 20746; 24079; 23192; 22175; 22540; 21037; 23961; 22375; 24778; 22459; 24401; 22555; 23269; 22129; 23150; 22446; 21685; 22161; 22808; 19992; 22509; 22634; 22138; 22301; 23015; 22359; 22112; 20966; 23653; 22052; 23079; 24536; 21387; 22025; 23198; 22844; 22405; 23821; 22447; 22071; 21814; 22543; 21150; 22417; 21918; 22069; 23302; 23511; 22812; 22363; 22925; 22153; 23066; 22788; 20775; 22338; 24087; 23795; 23333; 24043; 22672; 21731; 22886; 22480; 23255; 23110; 23317; 21803; 23365; 22574; 22964; 23102; 22225; 21652; 21059; 22615; 23877; 22928; 23096; 23720; 22441; 21386; 22215; 21625; 21804; 23024; 22022; 21462; 22609; 22380; 21716; 22553; 22676; 22674; 22124; 21722; 23449; 23314; 21279; 22777; 20447; 23780; 22893; 21876; 22241; 20738; 23662; 22076; 24479; 22160; 24102; 22256; 22970; 21830; 22851; 22147; 21386; 
400; 37705; 42160; 41707; 42358; 40257; 41025; 38003; 40716; 39021; 43635; 40904; 40523; 40628; 42044; 39375; 39269; 40530; 39195; 40910; 39367; 41581; 39009; 41494; 41729; 39993; 38866; 42071; 39437; 39746; 40834; 38588; 41834; 45505; 42020; 39652; 41784; 39741; 42006; 39239; 40861; 43556; 39085; 42236; 38986; 40889; 40368; 39794; 39714; 38231; 41766; 39349; 40915; 39477; 41429; 40106; 41506; 42157; 40274; 38576; 41588; 39529; 38654; 42007; 43106; 42874; 40798; 40014; 41935; 40936; 40484; 40768; 40238; 38837; 40243; 37769; 37253; 40311; 40019; 39738; 39867; 38147; 41210; 41397; 39606; 41607; 41391; 39637; 40811; 41304; 43581; 40512; 37707; 40713; 41428; 37202; 42057; 38160; 39339; 40551; 40767; 37306; 41761; 41308; 41959; 39858; 40626; 37604; 40317; 38622; 43236; 40505; 40124; 40229; 41645; 38976; 38870; 40131; 38796; 40511; 38968; 41182; 38610; 41095; 41330; 39594; 38467; 41672; 39038; 39347; 40435; 38189; 41435; 45106; 41621; 39253; 41385; 39342; 41607; 38840; 40462; 43157; 38686; 41837; 38587; 40490; 39969; 39395; 39315; 37832; 41367; 38950; 40516; 39078; 41030; 39707; 41107; 41758; 39875; 38177; 41189; 39130; 38255; 41608; 42707; 42475; 40399; 39615; 41536; 40537; 40085; 40369; 39839; 38438; 39844; 37370; 36854; 39912; 39620; 39339; 39468; 37748; 40811; 40998; 39207; 41208; 40992; 39238; 40412; 40905; 43182; 40113; 37308; 40314; 41029; 36803; 41658; 37761; 38940; 40152; 40368; 
500; 63757; 61717; 61502; 64352; 61200; 63210; 61355; 61264; 62094; 61661; 64014; 62596; 65160; 64251; 60955; 60704; 63029; 61148; 61761; 64137; 60286; 62635; 59891; 61395; 61974; 63259; 64127; 62331; 64336; 63349; 64888; 63058; 61916; 63705; 61586; 61720; 62262; 61999; 63508; 61546; 63944; 61581; 62538; 62882; 66306; 62080; 61220; 59058; 61158; 60687; 63006; 58821; 59697; 62946; 61224; 61843; 61984; 61643; 61903; 63264; 61814; 58615; 63424; 62898; 59594; 63365; 64452; 65725; 63061; 63187; 63313; 61502; 61352; 60285; 66742; 64011; 62926; 63192; 60941; 62212; 61449; 61047; 64166; 59563; 58976; 62890; 63152; 63398; 63075; 60546; 61894; 67529; 60386; 63821; 61176; 62194; 61049; 63850; 63743; 60979; 63258; 61218; 61003; 63853; 60701; 62711; 60856; 60765; 61595; 61162; 63515; 62097; 64661; 63752; 60456; 60205; 62530; 60649; 61262; 63638; 59787; 62136; 59392; 60896; 61475; 62760; 63628; 61832; 63837; 62850; 64389; 62559; 61417; 63206; 61087; 61221; 61763; 61500; 63009; 61047; 63445; 61082; 62039; 62383; 65807; 61581; 60721; 58559; 60659; 60188; 62507; 58322; 59198; 62447; 60725; 61344; 61485; 61144; 61404; 62765; 61315; 58116; 62925; 62399; 59095; 62866; 63953; 65226; 62562; 62688; 62814; 61003; 60853; 59786; 66243; 63512; 62427; 62693; 60442; 61713; 60950; 60548; 63667; 59064; 58477; 62391; 62653; 62899; 62576; 60047; 61395; 67030; 59887; 63322; 60677; 61695; 60550; 63351; 63244; 60480; 
600; 88530; 91616; 89511; 95782; 92399; 87243; 87804; 90722; 88762; 86201; 84489; 91212; 89781; 91452; 91388; 91146; 93442; 90142; 88161; 93143; 94961; 87646; 90302; 96156; 95849; 88967; 85976; 92154; 93779; 90220; 89081; 91333; 88334; 96610; 91341; 84493; 91248; 89725; 90159; 91300; 90099; 88080; 88748; 90063; 89199; 88113; 91032; 90203; 89188; 93444; 89794; 90254; 91958; 92130; 88802; 95105; 95843; 85000; 87181; 93536; 86865; 93112; 89345; 94364; 90530; 84225; 92169; 86813; 87165; 88807; 84677; 84638; 89863; 94506; 91109; 94127; 93153; 89833; 92998; 94745; 90714; 90223; 87603; 90050; 91112; 91519; 90045; 89968; 94159; 90100; 90503; 91189; 95601; 89178; 87507; 93104; 93901; 89583; 86656; 90735; 87931; 91017; 88912; 95183; 91800; 86644; 87205; 90123; 88163; 85602; 83890; 90613; 89182; 90853; 90789; 90547; 92843; 89543; 87562; 92544; 94362; 87047; 89703; 95557; 95250; 88368; 85377; 91555; 93180; 89621; 88482; 90734; 87735; 96011; 90742; 83894; 90649; 89126; 89560; 90701; 89500; 87481; 88149; 89464; 88600; 87514; 90433; 89604; 88589; 92845; 89195; 89655; 91359; 91531; 88203; 94506; 95244; 84401; 86582; 92937; 86266; 92513; 88746; 93765; 89931; 83626; 91570; 86214; 86566; 88208; 84078; 84039; 89264; 93907; 90510; 93528; 92554; 89234; 92399; 94146; 90115; 89624; 87004; 89451; 90513; 90920; 89446; 89369; 93560; 89501; 89904; 90590; 95002; 88579; 86908; 92505; 93302; 88984; 86057; 90136; 
700; 120408; 125523; 125549; 124754; 124691; 123371; 121432; 120841; 123352; 125903; 123237; 125710; 119288; 116154; 125680; 121673; 120253; 126176; 121412; 125413; 120389; 116460; 126869; 125948; 119402; 115940; 120911; 125044; 115968; 121740; 124414; 125084; 121814; 121152; 124219; 123743; 127158; 117381; 122774; 121664; 126173; 121566; 123295; 124555; 117874; 122303; 123654; 123044; 127384; 124943; 123014; 125008; 120267; 126031; 120056; 122894; 121028; 126230; 119050; 119554; 120901; 125021; 124057; 118768; 119767; 121407; 122978; 119784; 118250; 122348; 123598; 115822; 127178; 117892; 124117; 125163; 123913; 122450; 123346; 123306; 118265; 123912; 119388; 123722; 121737; 119908; 121940; 118479; 124322; 123670; 121806; 123237; 117944; 120883; 124545; 118700; 123135; 117288; 120368; 121775; 119709; 124824; 124850; 124055; 123992; 122672; 120733; 120142; 122653; 125204; 122538; 125011; 118589; 115455; 124981; 120974; 119554; 125477; 120713; 124714; 119690; 115761; 126170; 125249; 118703; 115241; 120212; 124345; 115269; 121041; 123715; 124385; 121115; 120453; 123520; 123044; 126459; 116682; 122075; 120965; 125474; 120867; 122596; 123856; 117175; 121604; 122955; 122345; 126685; 124244; 122315; 124309; 119568; 125332; 119357; 122195; 120329; 125531; 118351; 118855; 120202; 124322; 123358; 118069; 119068; 120708; 122279; 119085; 117551; 121649; 122899; 115123; 126479; 117193; 123418; 124464; 123214; 121751; 122647; 122607; 117566; 123213; 118689; 123023; 121038; 119209; 121241; 117780; 123623; 122971; 121107; 122538; 117245; 120184; 123846; 118001; 122436; 116589; 119669; 121076; 
800; 159106; 164229; 162806; 162516; 158179; 165111; 163821; 162628; 161450; 159391; 163773; 156421; 160244; 160853; 161800; 164267; 157319; 158508; 162122; 157634; 157368; 163425; 160135; 163059; 150950; 157233; 158779; 162980; 167349; 160010; 157982; 153028; 161360; 163631; 150666; 164708; 156966; 162518; 168728; 160353; 162805; 164163; 158488; 158239; 163660; 157255; 163783; 163908; 158036; 159983; 162418; 154627; 159309; 161591; 163304; 164430; 158055; 151429; 161801; 158336; 162875; 168598; 159049; 158454; 166904; 158493; 155614; 162155; 163090; 159125; 162964; 159351; 151287; 167012; 164091; 159297; 160450; 161017; 158064; 162240; 156869; 157114; 164458; 157530; 160620; 159911; 160676; 161054; 161557; 156514; 163262; 160744; 166745; 166284; 163221; 163847; 160716; 155684; 156740; 162777; 158307; 163430; 162007; 161717; 157380; 164312; 163022; 161829; 160651; 158592; 162974; 155622; 159445; 160054; 161001; 163468; 156520; 157709; 161323; 156835; 156569; 162626; 159336; 162260; 150151; 156434; 157980; 162181; 166550; 159211; 157183; 152229; 160561; 162832; 149867; 163909; 156167; 161719; 167929; 159554; 162006; 163364; 157689; 157440; 162861; 156456; 162984; 163109; 157237; 159184; 161619; 153828; 158510; 160792; 162505; 163631; 157256; 150630; 161002; 157537; 162076; 167799; 158250; 157655; 166105; 157694; 154815; 161356; 162291; 158326; 162165; 158552; 150488; 166213; 163292; 158498; 159651; 160218; 157265; 161441; 156070; 156315; 163659; 156731; 159821; 159112; 159877; 160255; 160758; 155715; 162463; 159945; 165946; 165485; 162422; 163048; 159917; 154885; 155941; 161978; 
900; 191918; 208861; 205989; 199285; 188821; 203555; 206464; 202033; 201925; 206033; 199450; 204896; 220317; 202324; 209279; 201811; 206902; 204595; 205886; 204503; 208512; 205882; 198017; 212008; 202414; 210530; 196782; 204018; 201139; 203699; 212434; 200951; 207044; 197327; 197841; 208120; 199484; 204239; 201970; 204338; 206584; 205904; 204316; 202369; 205364; 207819; 204358; 200384; 203866; 196301; 193492; 200624; 197471; 209615; 208315; 205835; 206393; 203750; 213803; 191406; 205401; 203580; 195719; 198168; 195926; 208776; 199775; 207342; 208489; 205371; 206236; 206663; 200545; 205795; 208345; 199082; 203566; 203911; 208156; 204459; 192749; 195784; 198795; 201221; 202855; 202105; 192942; 200745; 204458; 197935; 199388; 199147; 194982; 204624; 206601; 203681; 193284; 204858; 203221; 204668; 191019; 207962; 205090; 198386; 187922; 202656; 205565; 201134; 201026; 205134; 198551; 203997; 219418; 201425; 208380; 200912; 206003; 203696; 204987; 203604; 207613; 204983; 197118; 211109; 201515; 209631; 195883; 203119; 200240; 202800; 211535; 200052; 206145; 196428; 196942; 207221; 198585; 203340; 201071; 203439; 205685; 205005; 203417; 201470; 204465; 206920; 203459; 199485; 202967; 195402; 192593; 199725; 196572; 208716; 207416; 204936; 205494; 202851; 212904; 190507; 204502; 202681; 194820; 197269; 195027; 207877; 198876; 206443; 207590; 204472; 205337; 205764; 199646; 204896; 207446; 198183; 202667; 203012; 207257; 203560; 191850; 194885; 197896; 200322; 201956; 201206; 192043; 199846; 203559; 197036; 198489; 198248; 194083; 203725; 205702; 202782; 192385; 203959; 202322; 203769; 
1000; 248227; 262098; 251036; 252785; 247335; 253455; 248007; 246348; 252289; 253091; 249173; 251232; 255298; 247628; 254509; 247823; 247020; 255518; 256412; 245802; 247201; 245470; 254582; 252533; 243981; 257089; 240837; 253557; 246370; 251402; 246581; 253934; 252124; 253127; 237331; 246627; 252712; 256516; 257792; 252555; 247961; 256625; 258461; 245826; 258234; 246056; 253148; 255233; 260152; 251419; 251341; 254413; 250673; 244602; 248633; 251605; 250842; 246037; 246016; 244929; 237971; 249834; 254751; 243968; 241243; 243821; 260093; 255656; 250250; 254276; 249100; 256478; 253228; 244194; 258504; 247934; 236564; 248422; 254835; 243762; 242055; 248916; 247814; 250041; 251262; 251437; 257119; 234591; 256959; 245623; 246359; 252057; 244344; 250794; 244543; 243429; 250432; 256853; 245548; 257656; 247228; 261099; 250037; 251786; 246336; 252456; 247008; 245349; 251290; 252092; 248174; 250233; 254299; 246629; 253510; 246824; 246021; 254519; 255413; 244803; 246202; 244471; 253583; 251534; 242982; 256090; 239838; 252558; 245371; 250403; 245582; 252935; 251125; 252128; 236332; 245628; 251713; 255517; 256793; 251556; 246962; 255626; 257462; 244827; 257235; 245057; 252149; 254234; 259153; 250420; 250342; 253414; 249674; 243603; 247634; 250606; 249843; 245038; 245017; 243930; 236972; 248835; 253752; 242969; 240244; 242822; 259094; 254657; 249251; 253277; 248101; 255479; 252229; 243195; 257505; 246935; 235565; 247423; 253836; 242763; 241056; 247917; 246815; 249042; 250263; 250438; 256120; 233592; 255960; 244624; 245360; 251058; 243345; 249795; 243544; 242430; 249433; 255854; 244549; 256657; 
