n; comparisons; ; ; ; ; ; ; ; ; ; moves;
100; 1205; 1213; 1204; 1216; 1211; 1216; 1222; 1224; 1204; 1210; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 
200; 2828; 2832; 2817; 2828; 2829; 2822; 2809; 2833; 2826; 2830; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 
300; 4597; 4574; 4595; 4586; 4569; 4576; 4577; 4583; 4583; 4577; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 
400; 6435; 6454; 6416; 6454; 6468; 6447; 6457; 6441; 6451; 6434; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 
500; 8354; 8365; 8362; 8338; 8327; 8333; 8316; 8348; 8340; 8349; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 
600; 10340; 10374; 10350; 10358; 10367; 10362; 10348; 10369; 10376; 10380; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 
700; 12420; 12428; 12427; 12430; 12428; 12425; 12407; 12421; 12423; 12418; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 
800; 14490; 14494; 14473; 14497; 14505; 14507; 14488; 14486; 14491; 14513; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 
900; 16571; 16590; 16607; 16599; 16587; 16597; 16612; 16584; 16580; 16582; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 
1000; 18702; 18703; 18673; 18720; 18700; 18704; 18685; 18674; 18684; 18680; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 
