n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; reads;
10000; 150377; 150309; 173342; 156433; 154168; 154855; 152520; 151908; 150794; 147068; 176576; 156022; 156576; 149476; 156898; 153539; 154177; 149932; 156423; 152404; 150377; 150309; 173342; 156433; 154168; 154855; 152520; 151908; 150794; 147068; 176576; 156022; 156576; 149476; 156898; 153539; 154177; 149932; 156423; 152404; 
20000; 330546; 338848; 349621; 347004; 350975; 337671; 325135; 344450; 333655; 330124; 331743; 324039; 347520; 335358; 350631; 334822; 325507; 323371; 315548; 339787; 330546; 338848; 349621; 347004; 350975; 337671; 325135; 344450; 333655; 330124; 331743; 324039; 347520; 335358; 350631; 334822; 325507; 323371; 315548; 339787; 
30000; 507277; 520108; 536953; 528015; 563313; 542069; 510904; 511192; 515707; 505468; 518523; 513481; 528542; 510302; 527981; 516411; 512119; 552149; 518463; 537412; 507277; 520108; 536953; 528015; 563313; 542069; 510904; 511192; 515707; 505468; 518523; 513481; 528542; 510302; 527981; 516411; 512119; 552149; 518463; 537412; 
40000; 717595; 752842; 712208; 741986; 733365; 736181; 771534; 729930; 775286; 698170; 771620; 713971; 730879; 740142; 709853; 707235; 748546; 718194; 749256; 745796; 717595; 752842; 712208; 741986; 733365; 736181; 771534; 729930; 775286; 698170; 771620; 713971; 730879; 740142; 709853; 707235; 748546; 718194; 749256; 745796; 
50000; 942876; 923304; 957837; 940094; 937812; 911174; 971517; 1050787; 961233; 894038; 941564; 986192; 931441; 896498; 932711; 914163; 907813; 933455; 905072; 932165; 942876; 923304; 957837; 940094; 937812; 911174; 971517; 1050787; 961233; 894038; 941564; 986192; 931441; 896498; 932711; 914163; 907813; 933455; 905072; 932165; 
60000; 1144901; 1117289; 1149349; 1155561; 1103493; 1148023; 1221897; 1143950; 1219335; 1100920; 1132016; 1114194; 1138291; 1128462; 1143180; 1160823; 1159972; 1140423; 1114121; 1108783; 1144901; 1117289; 1149349; 1155561; 1103493; 1148023; 1221897; 1143950; 1219335; 1100920; 1132016; 1114194; 1138291; 1128462; 1143180; 1160823; 1159972; 1140423; 1114121; 1108783; 
70000; 1302270; 1411670; 1362079; 1310073; 1361593; 1316954; 1431327; 1419623; 1340549; 1313417; 1328048; 1393883; 1361283; 1433282; 1350269; 1315119; 1422590; 1382270; 1319470; 1400286; 1302270; 1411670; 1362079; 1310073; 1361593; 1316954; 1431327; 1419623; 1340549; 1313417; 1328048; 1393883; 1361283; 1433282; 1350269; 1315119; 1422590; 1382270; 1319470; 1400286; 
80000; 1708717; 1564619; 1626690; 1607726; 1580740; 1662292; 1569898; 1585420; 1536331; 1539241; 1546227; 1526889; 1518712; 1538439; 1653048; 1583288; 1602221; 1557151; 1593329; 1543657; 1708717; 1564619; 1626690; 1607726; 1580740; 1662292; 1569898; 1585420; 1536331; 1539241; 1546227; 1526889; 1518712; 1538439; 1653048; 1583288; 1602221; 1557151; 1593329; 1543657; 
90000; 1913890; 1764111; 1795921; 1859033; 1704513; 1849031; 1782555; 1767251; 1763305; 1820236; 1855688; 1863927; 1715431; 1754746; 1830527; 1768679; 1710952; 1767967; 1850366; 1808522; 1913890; 1764111; 1795921; 1859033; 1704513; 1849031; 1782555; 1767251; 1763305; 1820236; 1855688; 1863927; 1715431; 1754746; 1830527; 1768679; 1710952; 1767967; 1850366; 1808522; 
100000; 1996989; 2007005; 1953612; 2001255; 2090951; 2002852; 2048116; 2036665; 2033920; 2032272; 1936103; 1950886; 2052113; 1929151; 2021269; 2015043; 2055714; 1969399; 1983487; 2119258; 1996989; 2007005; 1953612; 2001255; 2090951; 2002852; 2048116; 2036665; 2033920; 2032272; 1936103; 1950886; 2052113; 1929151; 2021269; 2015043; 2055714; 1969399; 1983487; 2119258; 
